country,year,ck,pop,ckpc,flag,democ,autoc,polity2,regtrans
Angola,1975,103429.7265625,7.107334,14552.534967753028,0,0,7,-7,99
Angola,1976,105630.1640625,7.299507999999999,14470.860784384373,0,0,7,-7,None
Angola,1977,109740.34375,7.50132,14629.471046429162,0,0,7,-7,None
Angola,1978,113923.6171875,7.7171389999999995,14762.416121764816,0,0,7,-7,None
Angola,1979,117546.8828125,7.952882,14780.413290741646,0,0,7,-7,None
Angola,1980,120281.703125,8.21195,14647.154832287095,0,0,7,-7,None
Angola,1981,122607.2578125,8.49795,14427.862933119164,0,0,7,-7,None
Angola,1982,125135.125,8.807511,14207.77391024547,0,0,7,-7,None
Angola,1983,121325.1328125,9.128655,13290.581450662776,0,0,7,-7,None
Angola,1984,122040.359375,9.444918,12921.272516606286,0,0,7,-7,None
Angola,1985,120223.9140625,9.745209,12336.719926940512,0,0,7,-7,None
Angola,1986,120850.5,10.0237,12056.476151520896,0,0,7,-7,None
Angola,1987,120408.9609375,10.285712,11706.429359241247,0,0,7,-7,None
Angola,1988,119135.6328125,10.544903999999999,11297.93432092886,0,0,7,-7,None
Angola,1989,116027.90625,10.820992,10722.483322231456,0,0,7,-7,None
Angola,1990,114738.1171875,11.12787,10310.878648609303,0,0,7,-7,None
Angola,1991,117019.15625,11.472173,10200.260774484486,0,-88,-88,-3,-2
Angola,1992,124467.28125,11.848970999999999,10504.480199166663,0,-77,-77,0,-77
Angola,1993,130248.6796875,12.246786,10635.335645409334,0,-88,-88,-1,1
Angola,1994,136168.359375,12.648482999999999,10765.588203344229,0,-88,-88,-1,1
Angola,1995,145689.75,13.042665999999999,11170.243108272496,0,-88,-88,-2,1
Angola,1996,159560.9375,13.424812999999999,11885.524029273258,0,-88,-88,-2,1
Angola,1997,167298.84375,13.801867999999999,12121.463830113433,0,1,4,-3,1
Angola,1998,181732.328125,14.18771,12809.137494704924,0,1,4,-3,None
Angola,1999,190761.3125,14.601982999999999,13064.068935020676,0,1,4,-3,None
Angola,2000,190448.453125,15.058638,12647.12340684463,0,1,4,-3,None
Angola,2001,189098.984375,15.562790999999999,12150.711551353483,0,1,4,-3,None
Angola,2002,188344.671875,16.109696,11691.385850794453,0,2,4,-2,0
Angola,2003,192070.5625,16.691395,11507.160575853606,0,2,4,-2,None
Angola,2004,201747.484375,17.2955,11664.73847966234,0,2,4,-2,None
Angola,2005,217491.296875,17.912941999999997,12141.57321979829,0,2,4,-2,None
Angola,2006,255379.796875,18.541467,13773.440735568549,0,2,4,-2,None
Angola,2007,297778.78125,19.183906999999998,15522.321977999582,0,2,4,-2,None
Angola,2008,354643.5625,19.842250999999997,17873.15171549841,0,2,4,-2,None
Angola,2009,422951.03125,20.520103,20611.54523688307,0,2,4,-2,None
Angola,2010,509115.875,21.219953999999998,23992.317561103104,0,2,4,-2,None
Angola,2011,641505.9375,21.942296,29236.04428178346,0,2,4,-2,None
Angola,2012,683897.6875,22.685632,30146.732852758963,0,2,4,-2,None
Angola,2013,734677.375,23.448202,31331.927923514137,0,2,4,-2,None
Angola,2014,796054.125,24.227524,32857.42798149741,0,2,4,-2,None
Albania,1970,8341.498046875,2.150602,3878.680502889423,0,0,9,-9,None
Albania,1971,9139.7080078125,2.2020399999999998,4150.564025999755,0,0,9,-9,None
Albania,1972,9979.962890625,2.2538419999999997,4427.978043991106,0,0,9,-9,None
Albania,1973,10938.64453125,2.305999,4743.559963057226,0,0,9,-9,None
Albania,1974,12095.361328125,2.358467,5128.484446941594,0,0,9,-9,None
Albania,1975,13168.8671875,2.411229,5461.475118082936,0,0,9,-9,None
Albania,1976,14067.861328125,2.4643379999999997,5708.576229447828,0,0,9,-9,None
Albania,1977,15281.5029296875,2.5178689999999997,6069.220809219027,0,0,9,-9,None
Albania,1978,16651.291015625,2.5718449999999997,6474.453559847115,0,0,9,-9,None
Albania,1979,18108.474609375,2.62629,6895.078079486652,0,0,9,-9,None
Albania,1980,19475.17578125,2.681245,7263.482367799287,0,0,9,-9,None
Albania,1981,20819.9921875,2.7353289999999997,7611.512979791463,0,0,9,-9,None
Albania,1982,22260.31640625,2.788315,7983.429564539875,0,0,9,-9,None
Albania,1983,22660.755859375,2.8426199999999997,7971.785134620527,0,0,9,-9,None
Albania,1984,23848.40625,2.9015899999999997,8219.082037779288,0,0,9,-9,None
Albania,1985,24653.70703125,2.966799,8309.867649021724,0,0,9,-9,None
Albania,1986,26067.96484375,3.041003,8572.160186540428,0,0,9,-9,None
Albania,1987,27256.43359375,3.121336,8732.297193813803,0,0,9,-9,None
Albania,1988,28346.27734375,3.1970639999999997,8866.346542874964,0,0,9,-9,None
Albania,1989,29426.125,3.253659,9044.010143656727,0,0,9,-9,None
Albania,1990,31216.63671875,3.281453,9513.053125779952,0,3,2,1,3
Albania,1991,30082.28125,3.275438,9184.20109005269,0,3,2,1,3
Albania,1992,28967.671875,3.2406129999999997,8938.948240656939,0,6,1,5,3
Albania,1993,29010.46484375,3.1896229999999997,9095.264501086807,0,6,1,5,None
Albania,1994,29634.310546875,3.140634,9435.77333330627,0,6,1,5,None
Albania,1995,30537.5859375,3.106727,9829.504149382936,0,6,1,5,None
Albania,1996,31275.208984375,3.092034,10114.768784681863,0,3,3,0,-1
Albania,1997,31464.57421875,3.0924709999999997,10174.573736908123,0,6,1,5,2
Albania,1998,31726.58984375,3.1028979999999997,10224.825258113546,0,6,1,5,None
Albania,1999,32238.12109375,3.114851,10349.81162622225,0,6,1,5,None
Albania,2000,33585.98046875,3.121965,10757.961882580363,0,6,1,5,None
Albania,2001,35365.60546875,3.124093,11320.27934787793,0,6,1,5,None
Albania,2002,37005.26171875,3.123112,11848.842346592117,0,7,0,7,0
Albania,2003,40502.71875,3.117045,12993.947392482303,0,7,0,7,None
Albania,2004,44636.8984375,3.103758,14381.565327419212,0,7,0,7,None
Albania,2005,49495.1484375,3.082172,16058.528997570545,0,9,0,9,0
Albania,2006,63361.08203125,3.050741,20769.07939128559,0,9,0,9,None
Albania,2007,71803.96875,3.010849,23848.412441142016,0,9,0,9,None
Albania,2008,82640.5078125,2.968026,27843.592951173607,0,9,0,9,None
Albania,2009,96002.0703125,2.9298859999999998,32766.486584290313,0,9,0,9,None
Albania,2010,94202.3359375,2.9018829999999998,32462.485888473107,0,9,0,9,None
Albania,2011,104642.9609375,2.8860099999999997,36258.696587156664,0,9,0,9,None
Albania,2012,89331.359375,2.880667,31010.651135657125,0,9,0,9,None
Albania,2013,93572.09375,2.8832809999999998,32453.338314926645,0,9,0,9,None
Albania,2014,112792.828125,2.8896759999999997,39033.03627292472,0,9,0,9,None
Argentina,1950,57509.3203125,17.15802881500608,3351.744010489332,0,0,9,-9,None
Argentina,1951,61940.01953125,17.525199752974757,3534.3402873759655,0,0,9,-9,None
Argentina,1952,65282.9375,17.884976399458644,3650.15508222734,0,0,9,-9,None
Argentina,1953,67051.5078125,18.238994085503535,3676.272249344768,0,0,9,-9,None
Argentina,1954,67107.3125,18.588893866768,3610.0756172463834,0,0,9,-9,None
Argentina,1955,68349.9453125,18.936311074297834,3609.4646441075347,0,-88,-88,-6,1
Argentina,1956,71089.671875,19.280156123463914,3687.193787216484,0,-88,-88,-3,1
Argentina,1957,73226.9453125,19.619335613228625,3732.38659840885,0,3,4,-1,1
Argentina,1958,73912.3515625,19.955486782842016,3703.8611168358366,0,3,4,-1,None
Argentina,1959,74841,20.290248779758397,3688.5205702682943,0,3,4,-1,None
Argentina,1960,74654.28125,20.62525693502356,3619.556424687745,0,3,4,-1,None
Argentina,1961,78036.4609375,20.95998076785486,3723.1170105451683,0,3,4,-1,None
Argentina,1962,79482.5234375,21.293330693623172,3732.7426404598627,0,3,4,-1,None
Argentina,1963,78638.8984375,21.62610052529823,3636.295796623536,0,3,4,-1,None
Argentina,1964,79273.5625,21.959089800462515,3610.0568475443047,0,3,4,-1,None
